age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
50,2,102346,9,13,2,3,5,4,0,0,2415,20,38,1
47,2,148995,9,13,2,3,0,4,1,0,2415,60,38,1
47,3,102308,14,15,2,9,0,4,1,0,2415,45,38,1
67,2,105252,9,13,6,3,1,4,1,0,2392,40,38,1
67,3,106175,9,13,2,3,0,4,1,0,2392,75,38,1
72,4,52138,10,16,2,9,0,4,1,0,2392,25,38,1
46,3,191978,12,14,2,3,0,4,1,0,2392,50,38,1
78,3,188044,9,13,2,3,0,4,1,0,2392,40,38,1
71,3,66624,9,13,2,3,0,4,1,0,2392,60,38,1
83,3,153183,9,13,2,3,0,4,1,0,2392,55,38,1
68,2,211287,12,14,2,3,0,4,1,0,2392,40,38,1
26,2,181655,8,11,2,0,0,4,1,0,2377,45,38,0
68,5,235882,10,16,2,9,0,4,1,0,2377,60,38,1
49,3,158685,11,9,2,0,5,4,0,0,2377,40,38,1
36,2,370767,11,9,2,9,0,4,1,0,2377,60,38,0
70,4,155141,9,13,2,2,0,4,1,0,2377,12,38,1
27,2,156516,15,10,2,0,5,2,0,0,2377,20,38,0
35,1,177305,15,10,2,3,0,4,1,0,2377,40,38,0
23,2,162945,11,9,2,11,0,4,1,0,2377,40,38,0
81,2,177408,11,9,2,3,0,4,1,0,2377,26,38,1
66,4,427422,10,16,2,11,0,4,1,0,2377,25,38,1
71,2,152307,11,9,2,3,0,4,1,0,2377,45,38,1
68,2,218637,15,10,2,11,0,4,1,0,2377,55,38,1
52,2,222405,11,9,2,11,0,2,1,0,2377,40,38,0
40,3,110862,7,12,2,2,0,4,1,0,2377,50,38,0
21,2,377931,15,10,2,3,0,4,1,0,2377,48,38,0
35,2,192923,11,9,2,2,0,4,1,0,2377,40,38,0
70,3,207938,9,13,2,3,0,4,1,0,2377,50,38,1
61,4,36671,11,9,2,4,0,4,1,0,2352,50,38,0
65,3,81413,11,9,2,4,0,4,1,0,2352,65,38,0
46,2,214955,4,3,0,2,1,4,0,0,2339,45,38,0
26,1,166295,9,13,4,9,1,4,1,0,2339,55,38,0
59,1,147707,11,9,6,4,4,4,1,0,2339,40,38,0
61,2,43554,4,3,4,5,1,2,1,0,2339,40,38,0
60,5,358893,9,13,0,9,1,4,0,0,2339,40,38,0
49,3,141058,15,10,0,3,1,4,1,0,2339,50,38,0
25,2,77071,9,13,4,9,3,4,0,0,2339,35,38,0
59,1,171328,11,9,5,10,2,2,0,0,2339,40,38,0
28,5,381789,15,10,5,3,3,4,1,0,2339,40,38,0
56,4,346635,12,14,0,11,4,4,0,0,2339,60,38,0
41,2,162140,11,9,0,2,1,4,1,0,2339,40,38,0
42,2,191765,11,9,4,0,2,2,0,0,2339,40,37,0
28,2,251905,14,15,4,9,1,4,1,0,2339,40,1,0
40,4,33310,14,15,0,7,1,4,0,0,2339,35,38,0
69,2,228921,9,13,6,9,1,4,1,0,2282,40,38,1
66,1,36364,11,9,2,2,0,4,1,0,2267,40,38,0
69,2,124930,4,3,2,6,0,4,1,0,2267,40,38,0
55,1,176046,12,14,2,9,5,4,0,0,2267,40,38,0
57,0,370890,11,9,4,0,1,4,1,0,2258,40,38,0
20,4,157145,15,10,4,4,3,4,1,0,2258,10,38,0
33,2,288825,11,9,0,2,1,4,1,0,2258,84,38,0
30,4,257295,15,10,4,11,2,1,1,0,2258,40,34,0
40,2,287983,9,13,4,12,1,1,0,0,2258,48,29,0
38,2,101978,15,10,5,6,1,4,1,0,2258,55,38,1
46,5,192779,7,12,0,0,4,4,1,0,2258,38,38,1
29,2,135296,9,13,4,3,1,4,0,0,2258,45,38,1
57,0,199114,9,13,4,0,1,4,1,0,2258,40,38,0
39,2,156897,11,9,4,2,3,4,1,0,2258,42,38,1
47,2,138107,9,13,0,3,1,4,1,0,2258,40,38,1
26,2,279833,9,13,4,3,1,4,1,0,2258,45,38,1
27,4,208577,11,9,4,2,1,4,1,0,2258,50,38,0
23,2,102942,9,13,4,9,3,4,0,0,2258,40,38,1
34,2,36385,12,14,4,9,1,4,1,0,2258,50,38,0
33,2,176185,2,8,0,2,1,4,1,0,2258,42,38,0
38,1,162613,12,14,4,9,1,4,0,0,2258,60,38,0
57,2,121362,15,10,6,0,4,4,0,0,2258,38,38,1
36,2,145933,11,9,4,3,1,4,1,0,2258,70,38,0
44,0,29591,9,13,0,12,1,4,1,0,2258,40,38,1
49,5,269417,10,16,4,3,1,4,0,0,2258,50,38,1
44,3,178510,15,10,4,11,1,4,1,0,2258,60,38,0
55,2,41108,15,10,6,4,1,4,1,0,2258,62,38,1
45,2,187901,11,9,0,4,1,4,1,0,2258,44,38,1
48,2,175070,11,9,0,3,1,4,0,0,2258,40,38,1
31,2,263561,9,13,2,3,0,4,1,0,2246,45,38,1
55,1,99131,11,9,2,9,2,4,0,0,2246,40,38,1
70,4,143833,15,10,2,3,0,4,1,0,2246,40,38,1
70,4,124449,12,14,2,3,0,4,1,0,2246,8,38,1
73,2,336007,9,13,2,9,0,4,1,0,2246,40,38,1
72,4,285408,14,15,2,9,0,4,1,0,2246,28,38,1
31,2,327825,11,9,5,6,4,4,0,0,2238,40,38,0
28,2,129460,0,6,6,0,4,4,0,0,2238,35,38,0
23,4,258298,9,13,4,0,3,4,1,0,2231,40,38,1
49,1,102359,6,5,6,5,4,4,1,0,2231,40,38,1
27,1,92431,15,10,4,10,1,4,1,0,2231,40,38,1
90,2,51744,11,9,4,7,1,2,1,0,2206,40,38,0
68,2,166149,11,9,6,0,1,4,0,0,2206,30,38,0
65,2,149811,11,9,0,0,4,4,0,0,2206,59,1,0
67,2,118363,9,13,0,3,1,4,0,0,2206,5,38,0
66,1,362165,9,13,6,9,1,2,0,0,2206,25,38,0
24,2,379066,15,10,4,0,1,4,1,0,2205,24,38,0
44,4,171424,15,10,0,6,1,4,1,0,2205,35,38,0
35,2,108293,15,10,4,0,3,4,0,0,2205,40,38,0
20,2,107801,7,12,4,7,3,4,0,0,2205,18,38,0
38,2,126675,11,9,0,2,1,4,1,0,2205,40,38,0
39,2,155603,15,10,4,7,3,2,0,0,2205,40,38,0
32,2,27882,15,10,4,6,2,4,0,0,2205,40,14,0
42,2,242564,5,4,4,5,1,2,1,0,2205,40,38,0
42,3,23510,12,14,0,3,4,1,1,0,2201,60,18,1
64,2,181232,1,7,2,2,0,4,1,0,2179,40,38,0
28,2,166481,5,4,2,5,0,3,1,0,2179,40,32,0
41,3,139916,8,11,2,11,0,3,1,0,2179,84,25,0
41,4,144594,5,4,2,2,0,4,1,0,2179,40,38,0
58,4,266707,3,2,2,13,0,4,1,0,2179,18,38,0
59,5,303176,15,10,2,3,0,4,1,0,2179,40,38,0
34,4,56460,11,9,2,4,5,4,0,0,2179,12,38,0
45,2,167523,11,9,2,13,0,4,1,0,2179,45,38,0
29,2,119004,11,9,2,0,5,4,0,0,2179,40,38,0
47,2,175925,0,6,2,11,0,4,1,0,2179,52,38,0
40,2,212847,15,10,2,6,0,4,1,0,2179,40,38,0
47,4,191175,4,3,2,11,0,4,1,0,2179,50,25,0
41,4,170214,11,9,2,5,0,4,1,0,2179,40,38,0
34,2,180714,15,10,2,13,0,2,1,0,2179,40,38,0
65,4,111483,15,10,2,3,0,4,1,0,2174,10,38,1
70,2,282642,11,9,2,5,0,4,1,0,2174,40,38,1
75,4,309955,14,15,2,9,0,4,1,0,2174,50,38,1
65,5,215908,11,9,2,0,0,4,1,0,2174,40,38,1
65,0,23494,15,10,2,3,0,2,1,0,2174,40,38,1
73,2,147551,15,10,2,9,0,4,1,0,2174,50,38,1
68,4,116903,8,11,2,9,0,4,1,0,2149,40,38,0
74,4,119129,11,9,2,11,0,4,1,0,2149,20,38,0
19,4,342384,1,7,2,2,3,4,1,0,2129,55,38,0
37,4,68899,11,9,2,2,0,4,1,0,2129,40,38,0
45,0,207107,7,12,0,0,4,1,1,0,2080,40,29,0
64,2,149044,12,14,2,9,0,1,1,0,2057,60,2,0
30,2,148524,11,9,2,13,0,4,1,0,2057,40,38,0
51,4,268639,15,10,2,9,5,4,0,0,2057,60,1,0
35,2,272019,1,7,2,2,0,4,1,0,2057,40,38,0
29,2,239753,11,9,2,0,5,4,0,0,2057,20,38,0
34,2,199864,15,10,2,0,5,4,0,0,2057,40,38,0
41,2,125831,11,9,2,2,0,4,1,0,2051,60,38,0
35,2,67728,15,10,2,2,0,4,1,0,2051,45,38,0
26,2,115717,15,10,2,0,0,4,1,0,2051,40,38,0
54,2,172281,11,9,2,13,0,4,1,0,2051,50,38,0
52,1,305053,11,9,2,2,0,4,1,0,2051,40,38,0
50,4,105010,11,9,2,4,0,4,1,0,2051,20,38,0
31,2,291052,15,10,2,0,0,4,1,0,2051,40,38,0
38,0,248919,11,9,2,13,0,4,1,0,2051,40,38,0
30,2,84119,15,10,2,2,0,4,1,0,2051,40,38,0
34,1,105540,9,13,2,9,0,4,1,0,2051,40,38,0
31,2,161765,15,10,2,11,0,4,1,0,2051,57,38,0
52,2,195635,11,9,2,6,0,4,1,0,2051,38,38,0
54,2,816750,11,9,2,2,0,4,1,0,2051,40,38,0
38,2,160192,11,9,2,2,0,4,1,0,2051,44,38,0
39,2,136081,11,9,2,6,0,4,1,0,2051,40,38,0
29,2,244473,8,11,2,12,0,4,1,0,2051,40,38,0
45,2,187033,11,9,2,2,0,4,1,0,2051,40,38,0
34,2,265807,11,9,2,13,0,4,1,0,2051,55,38,0
38,2,154410,11,9,2,2,0,4,1,0,2051,40,30,0
39,2,314007,0,6,2,2,0,4,1,0,2051,40,38,0
61,2,179743,11,9,2,2,0,4,1,0,2051,20,38,0
43,2,117037,1,7,2,13,0,4,1,0,2042,40,38,0
35,2,40135,15,10,2,5,0,4,1,0,2042,40,38,0
46,2,315423,15,10,2,11,0,4,1,0,2042,50,38,0
38,2,35429,11,9,2,5,0,4,1,0,2042,40,38,0
42,4,120837,11,9,2,2,0,4,1,0,2042,48,38,0
34,2,90614,7,12,2,12,0,4,1,0,2042,10,38,0
29,2,202878,5,4,2,4,0,4,1,0,2042,40,38,0
32,2,260954,1,7,2,2,0,4,1,0,2042,30,38,0
60,2,127084,11,9,2,10,0,4,1,0,2042,34,38,0
49,1,107231,11,9,2,2,0,4,1,0,2002,40,38,0
53,1,135102,11,9,2,7,0,4,1,0,2002,45,38,0
56,2,201822,5,4,2,5,0,4,1,0,2002,40,38,0
48,2,413363,1,7,2,13,0,4,1,0,2002,40,38,0
32,0,148138,9,13,2,9,0,1,1,0,2002,40,19,0
42,4,170721,11,9,2,2,0,4,1,0,2002,40,38,0
32,2,102858,7,12,2,9,0,4,1,0,2002,42,38,0
28,1,175262,7,12,2,10,0,4,1,0,2002,40,8,0
26,2,36936,8,11,2,2,0,4,1,0,2002,40,38,0
59,2,169982,9,13,2,3,0,4,1,0,2002,50,38,0
47,4,208407,9,13,2,9,0,4,1,0,2002,30,38,0
41,2,41090,11,9,2,2,0,4,1,0,2002,60,38,0
36,2,183739,11,9,2,2,3,4,0,0,2002,40,38,0
45,2,357540,9,13,2,11,0,4,1,0,2002,55,38,0
30,2,48520,7,12,2,9,0,4,1,0,2002,40,38,0
36,2,107916,11,9,2,13,0,4,1,0,2002,40,38,0
34,3,198613,11,9,2,3,0,4,1,0,2002,40,38,0
53,2,283743,11,9,2,13,0,4,1,0,2002,40,38,0
51,2,210940,11,9,2,11,0,4,1,0,2002,45,38,0
47,4,355978,10,16,2,13,0,4,1,0,2002,45,38,0
30,2,57651,11,9,4,0,4,4,1,0,2001,42,38,0
20,2,315877,11,9,4,7,4,4,1,0,2001,40,38,0
42,0,74680,12,14,0,0,1,4,1,0,2001,60,38,0
31,2,454508,1,7,4,2,1,4,1,0,2001,40,38,0
33,2,202046,9,13,4,5,1,4,1,0,2001,40,38,0
25,2,121102,7,12,4,12,1,4,0,0,2001,30,38,0
20,2,146879,11,9,4,7,1,4,1,0,2001,40,38,0
23,2,213955,11,9,4,0,3,2,1,0,2001,40,38,0
41,4,277783,15,10,0,2,1,4,1,0,2001,50,38,0
54,4,199741,11,9,6,2,1,4,1,0,2001,35,38,0
25,2,378322,11,9,4,2,1,4,1,0,2001,50,38,0
19,2,264390,15,10,4,0,3,4,0,0,2001,40,38,0
24,2,210029,11,9,4,0,1,4,0,0,2001,37,38,0
56,0,61885,9,13,4,13,1,2,1,0,2001,65,38,0
21,1,102942,15,10,4,7,1,4,0,0,2001,40,38,0
34,2,209297,11,9,4,6,1,2,1,0,2001,40,38,0
19,2,198459,11,9,4,0,3,4,1,0,2001,40,38,0
48,2,93476,11,9,5,0,1,4,0,0,2001,40,38,0
34,2,174789,9,13,4,7,1,4,1,0,2001,40,38,0
31,2,189759,11,9,4,4,1,4,1,0,2001,40,38,0
36,2,297847,11,9,4,7,1,2,0,0,2001,40,38,0
27,2,124953,11,9,4,7,1,4,1,0,1980,40,38,0
27,2,116358,15,10,4,2,3,1,1,0,1980,40,29,0
35,2,187119,9,13,0,11,1,4,0,0,1980,65,38,0
31,4,161745,9,13,3,3,1,4,1,0,1980,60,38,0
27,0,469705,11,9,4,2,1,2,1,0,1980,40,38,0
28,1,304960,7,12,4,0,1,4,0,0,1980,40,38,0
42,2,175935,11,9,0,13,1,4,1,0,1980,46,38,0
44,2,355728,15,10,5,3,1,4,1,0,1980,45,8,0
41,2,53956,9,13,0,11,1,4,1,0,1980,56,38,0
28,2,184723,9,13,4,12,1,4,0,0,1980,35,38,0
41,0,185616,11,9,4,0,1,4,0,0,1980,40,38,0
35,2,54595,0,6,6,7,1,2,0,0,1980,40,38,0
58,2,126104,12,14,0,0,1,4,0,0,1980,45,38,0
40,2,139193,11,9,0,6,1,4,1,0,1980,48,38,0
31,2,184306,8,11,4,13,3,4,1,0,1980,60,38,0
30,2,207301,11,9,4,11,1,4,0,0,1980,40,38,0
32,2,199529,15,10,5,12,1,0,1,0,1980,40,38,0
25,2,111058,15,10,4,0,1,4,1,0,1980,40,38,0
34,2,198103,11,9,4,13,3,4,1,0,1980,40,38,0
56,2,34626,15,10,0,3,1,4,0,0,1980,40,38,0
45,2,100651,11,9,0,7,1,4,1,0,1980,40,38,0
50,2,104501,11,9,4,0,1,4,1,0,1980,40,38,0
27,2,132805,0,6,4,11,2,4,1,0,1980,40,38,0
51,2,96062,15,10,2,11,0,4,1,0,1977,40,38,1
40,2,207578,7,12,2,12,0,4,1,0,1977,60,38,1
41,2,445382,12,14,2,3,0,4,1,0,1977,65,38,1
49,2,192776,12,14,2,3,0,4,1,0,1977,45,38,1
37,2,22463,8,11,2,2,0,4,1,0,1977,40,38,1
36,3,108293,9,13,2,3,5,4,0,0,1977,45,38,1
35,2,199352,14,15,2,9,0,4,1,0,1977,80,38,1
29,3,260729,11,9,2,11,5,4,0,0,1977,25,38,1
50,2,133963,9,13,2,9,5,4,0,0,1977,40,38,1
46,2,129007,9,13,2,11,0,4,1,0,1977,40,38,1
44,4,179557,11,9,2,3,0,4,1,0,1977,45,38,1
42,1,111252,12,14,2,3,0,4,1,0,1977,40,38,1
38,0,338320,14,15,2,9,0,4,1,0,1977,50,38,1
45,2,192835,9,13,2,3,0,4,1,0,1977,55,38,1
43,1,147328,12,14,2,3,0,4,1,0,1977,60,38,1
47,3,139268,14,15,2,9,0,4,1,0,1977,60,38,1
58,3,349910,14,15,2,9,0,4,1,0,1977,50,38,1
48,2,331482,14,15,2,12,0,4,1,0,1977,40,38,1
42,1,245307,9,13,2,3,0,4,1,0,1977,48,38,1
55,2,153484,12,14,2,3,0,4,1,0,1977,50,38,1
51,2,252903,0,6,2,11,0,4,1,0,1977,40,38,1
32,2,295589,12,14,2,3,0,2,1,0,1977,40,38,1
45,1,160472,9,13,2,3,0,4,1,0,1977,50,38,1
56,2,192869,12,14,2,2,0,4,1,0,1977,44,38,1
38,2,234901,12,14,2,3,0,4,1,0,1977,60,38,1
45,2,33300,8,11,2,11,0,4,1,0,1977,50,38,1
49,2,101825,12,14,2,9,5,4,0,0,1977,40,38,1
36,2,183612,11,9,2,9,0,4,1,0,1977,40,38,1
49,2,185041,12,14,2,3,0,4,1,0,1977,40,38,1
30,2,315640,10,16,2,9,0,1,1,0,1977,40,2,1
42,3,123838,14,15,2,9,0,4,1,0,1977,50,38,1
55,2,31905,12,14,2,3,0,4,1,0,1977,40,38,1
34,2,181091,9,13,2,3,0,4,1,0,1977,45,38,1
54,2,88278,10,16,2,9,0,4,1,0,1977,50,38,1
42,4,323790,9,13,2,3,0,4,1,0,1977,70,38,1
25,1,90730,9,13,2,9,0,4,1,0,1977,40,38,1
55,3,138594,11,9,2,3,0,4,1,0,1977,45,38,1
58,5,194068,12,14,2,9,0,4,1,0,1977,50,38,1
62,2,218009,11,9,2,13,0,4,1,0,1977,60,38,1
43,3,221172,14,15,2,9,0,4,1,0,1977,40,38,1
57,1,174132,12,14,2,9,5,2,0,0,1977,40,38,1
42,3,277256,10,16,2,9,0,4,1,0,1977,60,38,1
63,4,35021,9,13,2,9,0,1,1,0,1977,32,2,1
47,4,213668,14,15,2,9,0,4,1,0,1977,50,38,1
37,2,99146,9,13,2,3,0,4,1,0,1977,50,38,1
40,2,209547,9,13,2,11,0,4,1,0,1977,60,38,1
43,2,118308,9,13,2,9,0,4,1,0,1977,50,38,1
43,5,33331,14,15,2,9,0,4,1,0,1977,70,38,1
41,4,200574,14,15,2,9,0,4,1,0,1977,60,38,1
32,2,204374,14,15,2,9,0,4,1,0,1977,60,38,1
47,2,189680,9,13,2,11,0,4,1,0,1977,40,38,1
39,0,175232,15,10,2,5,0,4,1,0,1977,60,38,1
53,2,193720,15,10,2,3,0,4,1,0,1977,40,38,1
34,2,189759,9,13,2,3,0,4,1,0,1977,45,38,1
36,2,32776,9,13,2,3,0,4,1,0,1977,40,38,1
47,1,285060,12,14,2,3,0,4,1,0,1977,41,38,1
52,2,23780,8,11,2,3,0,4,1,0,1977,45,38,1
40,4,284706,14,15,2,9,0,0,1,0,1977,60,38,1
42,3,130126,9,13,2,9,0,4,1,0,1977,40,38,1
51,2,102615,12,14,2,10,0,4,1,0,1977,40,38,1
55,2,208311,12,14,2,12,0,4,1,0,1977,20,38,1
38,2,111499,11,9,2,11,0,4,1,0,1977,99,38,1
52,2,139671,15,10,2,3,0,4,1,0,1977,50,38,1
60,0,165630,11,9,2,12,0,4,1,0,1977,40,38,1
55,2,124808,8,11,2,9,0,4,1,0,1977,50,10,1
47,1,29819,12,14,2,3,0,2,1,0,1977,50,38,1
46,2,102771,12,14,2,12,0,4,1,0,1977,40,38,1
35,2,86648,12,14,2,9,0,4,1,0,1977,45,38,1
59,3,223215,9,13,2,3,0,4,1,0,1977,50,38,1
57,2,437727,12,14,2,9,0,4,1,0,1977,45,38,1
46,2,167515,15,10,2,9,0,4,1,0,1977,50,38,1
46,0,213140,12,14,2,3,0,4,1,0,1977,40,38,1
52,2,168553,11,9,2,2,0,4,1,0,1977,40,38,1
45,2,363677,10,16,2,9,5,4,0,0,1977,30,38,1
37,2,241998,9,13,2,12,0,4,1,0,1977,40,38,1
46,2,337050,12,14,2,3,0,4,1,0,1977,45,38,1
44,2,157249,9,13,2,9,0,2,1,0,1977,50,38,1
45,2,84298,8,11,2,3,0,4,1,0,1977,50,38,1
43,2,55213,11,9,2,6,0,4,1,0,1977,52,38,1
54,1,185846,12,14,2,9,0,4,1,0,1977,40,38,1
50,2,150999,12,14,2,9,0,4,1,0,1977,40,38,1
45,2,225456,9,13,2,9,0,4,1,0,1977,40,38,1
36,2,192939,12,14,2,9,0,4,1,0,1977,60,38,1
27,2,183627,9,13,2,3,0,4,1,0,1977,50,38,1
36,2,189404,9,13,2,11,0,4,1,0,1977,35,38,1
53,2,152810,12,14,2,3,0,4,1,0,1977,55,38,1
51,1,123011,12,14,2,9,0,4,1,0,1977,35,38,1
28,2,114158,9,13,2,9,5,4,0,0,1977,24,38,1
47,4,228660,15,10,2,2,0,4,1,0,1977,40,38,1
45,2,233511,9,13,2,3,0,4,1,0,1977,60,38,1
45,1,159816,12,14,2,9,5,4,0,0,1977,35,38,1
39,4,202027,14,15,2,9,0,4,1,0,1977,50,38,1
39,2,218490,9,13,2,3,0,4,1,0,1977,40,38,1
55,4,248841,12,14,2,9,0,4,1,0,1977,40,38,1
62,2,71751,15,10,2,3,0,4,1,0,1977,98,38,1
49,2,137192,9,13,2,11,0,1,1,0,1977,50,34,1
53,4,100109,12,14,2,3,0,4,1,0,1977,40,38,1
31,2,183043,12,14,2,3,0,4,1,0,1977,48,38,1
42,3,188738,11,9,2,3,0,4,1,0,1977,60,21,1
39,2,201410,9,13,2,13,0,4,1,0,1977,45,29,1
60,4,282066,9,13,2,3,0,4,1,0,1977,45,38,1
26,2,291968,14,15,2,9,0,4,1,0,1977,40,38,1
37,2,126569,12,14,2,3,0,4,1,0,1977,40,38,1
45,5,103406,9,13,2,3,0,4,1,0,1977,60,38,1
37,2,109133,7,12,2,11,0,4,1,0,1977,45,38,1
32,2,195602,9,13,2,11,0,4,1,0,1977,45,38,1
39,3,135500,11,9,2,3,0,4,1,0,1977,40,38,1
45,2,145636,12,14,2,3,0,4,1,0,1977,43,38,1
41,2,137126,9,13,2,9,0,4,1,0,1977,45,38,1
36,4,36270,11,9,2,4,0,4,1,0,1977,65,38,1
51,5,285747,12,14,2,9,0,4,1,0,1977,60,38,1
39,2,80324,15,10,2,3,0,4,1,0,1977,62,38,1
56,4,94156,14,15,2,9,0,4,1,0,1977,50,38,1
53,0,271544,11,9,2,0,0,2,1,0,1977,40,38,1
40,4,175943,8,11,2,9,5,4,0,0,1977,15,38,1
